contest_id,entry_max_per_user
141828605,1
141849575,1
141847741,1
141828609,1
141828604,1
141828853,2
141828852,1
141828851,1
141828860,1
141828859,3
141828858,1
141828857,1
141828856,1
141828855,3
141828854,8
141828864,1
141828863,1
141828810,1
141828804,1
141828803,1
141828805,1
141828836,1
141828835,1
141828834,1
141828833,1
141828846,1
141828845,1
141828832,1
141828826,1
141828802,1
141828801,1
141828843,1
141828827,1
141828844,1
141828848,1
141828800,1
141828849,1
141828799,1
141828798,1
141828850,1
141828811,1
141828842,1
141828831,1
141828797,1
141828841,1
141828825,1
141828824,1
141828823,1
141828822,1
141828830,1
141828840,1
141828821,1
141828820,1
141828839,1
141828819,1
141828818,1
141828809,1
141828808,1
141828807,1
141828806,1
141828829,1
141828828,1
141828847,1
141828838,1
141828837,1
141828817,1
141828816,1
141828815,1
141828814,1
141828813,1
141828812,1
141831285,1
141831284,1
141831283,1
141831282,3
141831281,1
141831280,1
141831279,1
141831278,8
141831287,1
141831286,1
141831272,1
141831266,1
141831267,1
141831276,1
141831271,1
141831275,1
141831270,1
141831274,1
141831269,1
141847739,1
141831273,1
141831268,1
141829091,1
141829090,1
141829087,1
141829086,1
141829089,1
141829088,1
141829102,1
141829101,1
141829100,1
141829099,1
141829098,1
141829097,1
141829096,1
141829095,1
141829094,1
141829093,1
141829092,1
141828644,1
141828643,1
141828642,1
141828641,3
141828640,1
141828639,1
141828638,1
141828636,8
141828646,1
141828645,1
141828630,1
141828624,1
141828625,1
141828634,1
141828629,1
141828633,1
141828628,1
141828632,1
141828627,1
141848521,1
141828631,1
141828626,1
141829214,1
141829223,2
141829219,1
141829218,1
141829216,1
141829233,1
141829232,1
141829231,1
141829230,3
141829229,7
141829228,1
141829227,1
141829226,1
141829225,3
141829224,8
141829213,1
141829154,1
141829155,1
141829156,3
141829157,3
141829158,7
141829187,1
141829169,1
141829171,1
141829132,1
141829170,1
141829122,1
141829133,2
141829123,3
141829134,7
141829146,1
141829147,1
141829148,1
141829149,1
141829150,1
141829151,3
141829152,1
141829153,1
141829131,1
141829130,1
141829129,1
141829128,1
141829127,1
141829126,1
141829125,1
141829202,1
141829183,1
141829203,1
141829182,1
141829204,1
141829184,1
141829181,1
141829201,1
141829186,1
141829185,1
141829180,1
141829188,1
